Header; Nr_of_streams; recording TimeStamp; Operation; Number of packets; packateNr; Sending TimeStamp; globals_clk; globals_rst; globals_reg_address; globals_reg_value; target_tb_in_1; target_tb_in_2; target_tb_in_3; target_tb_in_4; target_tb_in_5; target_tb_in_6; target_tb_in_7; target_tb_in_8; target_tb_in_9; target_tb_out_1; target_tb_out_2; target_tb_out_3; target_tb_out_4; target_tb_out_5; target_tb_out_6; target_tb_out_7; target_tb_out_8; target_tb_out_9; read_out; busa_clr_in; busa_clr_out; Tail
268435455; 1661000; 1973283644; 0; 1000; 174536; 1975324338; 2546; 59; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661001; 1973286420; 0; 1000; 174536; 1975324339; 2546; 59; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661002; 1973286570; 0; 1000; 174536; 1975324340; 2546; 59; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661003; 1973290620; 0; 1000; 174536; 1975324341; 2546; 59; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661004; 1973290770; 0; 1000; 174536; 1975324342; 2546; 59; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661005; 1973294214; 0; 1000; 174536; 1975324343; 2546; 59; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 0; 268435454
268435455; 1661006; 1973294364; 0; 1000; 174536; 1975324344; 2546; 0; 2546; 2545; 3140125719; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 5; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661007; 1973298006; 0; 1000; 174536; 1975324345; 2546; 0; 2546; 2545; 3140991674; 0; 0; 0; 0; 0; 0; 0; 0; 10; 0; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661008; 1973298156; 0; 1000; 174536; 1975324346; 2546; 0; 2546; 2545; 3141542782; 0; 0; 0; 0; 0; 0; 0; 0; 3; 0; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661009; 1973301662; 0; 1000; 174536; 1975324347; 2546; 0; 2546; 2545; 3143797210; 0; 0; 0; 0; 0; 0; 0; 0; 0; 12; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661010; 1973301812; 0; 1000; 174536; 1975324348; 2546; 0; 2546; 2545; 3144611463; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 9; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661011; 1973316980; 0; 1000; 174536; 1975324349; 2546; 0; 2546; 2545; 3147224002; 0; 0; 0; 0; 0; 0; 0; 0; 12; 0; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661012; 1973319604; 0; 1000; 174536; 1975324350; 2546; 0; 2546; 2545; 3148041424; 0; 0; 0; 0; 0; 0; 0; 0; 0; 7; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661013; 1973319754; 0; 1000; 174536; 1975324351; 2546; 0; 2546; 2545; 3148901796; 0; 0; 0; 0; 0; 0; 0; 0; 0; 7; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661014; 1973323548; 0; 1000; 174536; 1975324352; 2546; 0; 2546; 2545; 3149736732; 0; 0; 0; 0; 0; 0; 0; 0; 14; 0; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661015; 1973323698; 0; 1000; 174536; 1975324353; 2546; 0; 2546; 2545; 3151707965; 0; 0; 0; 0; 0; 0; 0; 0; 10; 0; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661016; 1973327356; 0; 1000; 174536; 1975324354; 2546; 0; 2546; 2545; 3153172360; 0; 0; 0; 0; 0; 0; 0; 0; 0; 7; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661017; 1973327506; 0; 1000; 174536; 1975324355; 2546; 0; 2546; 2545; 3156087206; 0; 0; 0; 0; 0; 0; 0; 0; 0; 7; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661018; 1973331172; 0; 1000; 174536; 1975324356; 2546; 0; 2546; 2545; 3156152590; 0; 0; 0; 0; 0; 0; 0; 0; 0; 12; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661019; 1973331322; 0; 1000; 174536; 1975324357; 2546; 0; 2546; 2545; 3158483689; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 14; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661020; 1973334964; 0; 1000; 174536; 1975324358; 2546; 0; 2546; 2545; 3160712610; 0; 0; 0; 0; 0; 0; 0; 0; 9; 0; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661021; 1973335114; 0; 1000; 174536; 1975324359; 2546; 0; 2546; 2545; 3161112105; 0; 0; 0; 0; 0; 0; 0; 0; 0; 6; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661022; 1973338772; 0; 1000; 174536; 1975324360; 2546; 0; 2546; 2545; 3163734680; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 7; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661023; 1973338922; 0; 1000; 174536; 1975324361; 2546; 0; 2546; 2545; 3164960697; 0; 0; 0; 0; 0; 0; 0; 0; 0; 11; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661024; 1973342484; 0; 1000; 174536; 1975324362; 2546; 0; 2546; 2545; 3165538622; 0; 0; 0; 0; 0; 0; 0; 0; 0; 7; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661025; 1973342634; 0; 1000; 174536; 1975324363; 2546; 0; 2546; 2545; 3167072493; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 5; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661026; 1973346258; 0; 1000; 174536; 1975324364; 2546; 0; 2546; 2545; 3167608607; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 15; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661027; 1973346408; 0; 1000; 174536; 1975324365; 2546; 0; 2546; 2545; 3168208442; 0; 0; 0; 0; 0; 0; 0; 0; 0; 4; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661028; 1973350122; 0; 1000; 174536; 1975324366; 2546; 0; 2546; 2545; 3173003716; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661029; 1973352818; 0; 1000; 174536; 1975324367; 2546; 0; 2546; 2545; 3173610564; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661030; 1973352970; 0; 1000; 174536; 1975324368; 2546; 0; 2546; 2545; 3173887628; 0; 0; 0; 0; 0; 0; 0; 0; 0; 8; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661031; 1973355988; 0; 1000; 174536; 1975324369; 2546; 0; 2546; 2545; 3270165828; 0; 0; 0; 0; 0; 0; 0; 0; 0; 6; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661032; 1973356138; 0; 1000; 174536; 1975324370; 2546; 0; 2546; 2545; 3271692656; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 15; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661033; 1973359868; 0; 1000; 174536; 1975324371; 2546; 0; 2546; 2545; 3272499577; 0; 0; 0; 0; 0; 0; 0; 0; 0; 4; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661034; 1973360018; 0; 1000; 174536; 1975324372; 2546; 0; 2546; 2545; 3272926054; 0; 0; 0; 0; 0; 0; 0; 0; 0; 6; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661035; 1973363684; 0; 1000; 174536; 1975324373; 2546; 0; 2546; 2545; 3274013312; 0; 0; 0; 0; 0; 0; 0; 0; 0; 9; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661036; 1973363834; 0; 1000; 174536; 1975324374; 2546; 0; 2546; 2545; 3274175116; 0; 0; 0; 0; 0; 0; 0; 0; 0; 14; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
