Header; Nr_of_streams; recording TimeStamp; Operation; Number of packets; packateNr; Sending TimeStamp; TX_Valid; TX_Last; TX_Address; TX_Value; RX_LAST; RX_valid; RX_Address; RX_VALUE; Dummy; Tail
268435455; 32340; 2853718998; 0; 34; 122215; 2853841972; 1; 0; 0; 2460; 0; 1; 0; 0; 0; 268435454
268435455; 32341; 2853726814; 0; 34; 122215; 2853841973; 1; 0; 1; 800; 0; 1; 0; 0; 0; 268435454
268435455; 32342; 2853730102; 0; 34; 122215; 2853841974; 1; 0; 2; 3510; 0; 1; 0; 0; 0; 268435454
268435455; 32343; 2853732838; 0; 34; 122215; 2853841975; 1; 0; 3; 800; 0; 1; 0; 0; 0; 268435454
268435455; 32344; 2853738030; 0; 34; 122215; 2853841976; 1; 0; 4; 3525; 0; 1; 200; 909; 0; 268435454
268435455; 32345; 2853742566; 0; 34; 122215; 2853841977; 1; 0; 5; 800; 0; 1; 201; 902; 0; 268435454
268435455; 32346; 2853745358; 0; 34; 122215; 2853841978; 1; 0; 6; 3535; 0; 1; 202; 912; 0; 268435454
268435455; 32347; 2853748062; 0; 34; 122215; 2853841979; 1; 0; 7; 800; 0; 1; 203; 500; 0; 268435454
268435455; 32348; 2853751390; 0; 34; 122215; 2853841980; 1; 0; 8; 3545; 0; 1; 204; 911; 0; 268435454
268435455; 32349; 2853756126; 0; 34; 122215; 2853841981; 1; 0; 9; 800; 0; 1; 205; 915; 0; 268435454
268435455; 32350; 2853761310; 0; 34; 122215; 2853841982; 1; 0; 10; 3535; 0; 1; 206; 907; 0; 268435454
268435455; 32351; 2853764976; 0; 34; 122215; 2853841983; 1; 0; 11; 800; 0; 1; 207; 914; 0; 268435454
268435455; 32352; 2853769016; 0; 34; 122215; 2853841984; 1; 0; 12; 3515; 0; 1; 208; 913; 0; 268435454
268435455; 32353; 2853769126; 0; 34; 122215; 2853841985; 1; 0; 13; 800; 0; 1; 209; 913; 0; 268435454
268435455; 32354; 2853773070; 0; 34; 122215; 2853841986; 1; 0; 14; 3555; 0; 1; 210; 917; 0; 268435454
268435455; 32355; 2853775806; 0; 34; 122215; 2853841987; 1; 0; 15; 800; 0; 1; 211; 902; 0; 268435454
268435455; 32356; 2853778550; 0; 34; 122215; 2853841988; 1; 0; 16; 3545; 0; 1; 212; 898; 0; 268435454
268435455; 32357; 2853781134; 0; 34; 122215; 2853841989; 1; 0; 17; 800; 0; 1; 213; 918; 0; 268435454
268435455; 32358; 2853784534; 0; 34; 122215; 2853841990; 1; 0; 18; 3520; 0; 1; 214; 919; 0; 268435454
268435455; 32359; 2853784644; 0; 34; 122215; 2853841991; 1; 0; 19; 800; 0; 1; 215; 909; 0; 268435454
268435455; 32360; 2853789078; 0; 34; 122215; 2853841992; 1; 0; 20; 3540; 0; 1; 216; 914; 0; 268435454
268435455; 32361; 2853791470; 0; 34; 122215; 2853841993; 1; 0; 21; 800; 0; 1; 217; 907; 0; 268435454
268435455; 32362; 2853794470; 0; 34; 122215; 2853841994; 1; 0; 22; 3485; 0; 1; 218; 907; 0; 268435454
268435455; 32363; 2853799118; 0; 34; 122215; 2853841995; 1; 0; 23; 800; 0; 1; 219; 915; 0; 268435454
268435455; 32364; 2853803798; 0; 34; 122215; 2853841996; 1; 0; 24; 3530; 0; 1; 220; 927; 0; 268435454
268435455; 32365; 2853808846; 0; 34; 122215; 2853841997; 1; 0; 25; 800; 0; 1; 221; 907; 0; 268435454
268435455; 32366; 2853813686; 0; 34; 122215; 2853841998; 1; 0; 26; 3505; 0; 1; 222; 921; 0; 268435454
268435455; 32367; 2853818374; 0; 34; 122215; 2853841999; 1; 0; 27; 800; 0; 1; 223; 924; 0; 268435454
268435455; 32368; 2853822982; 0; 34; 122215; 2853842000; 1; 0; 28; 3495; 0; 1; 224; 908; 0; 268435454
268435455; 32369; 2853828014; 0; 34; 122215; 2853842001; 1; 0; 29; 800; 0; 1; 225; 914; 0; 268435454
268435455; 32370; 2853833438; 0; 34; 122215; 2853842002; 1; 0; 30; 2460; 0; 1; 226; 882; 0; 268435454
268435455; 32371; 2853836918; 0; 34; 122215; 2853842003; 1; 0; 31; 800; 0; 1; 227; 902; 0; 268435454
268435455; 32372; 2853839598; 0; 34; 122215; 2853842004; 1; 1; 0; 0; 0; 1; 228; 862; 0; 268435454
268435455; 32373; 2853841967; 1; 34; 122215; 2853842005; 0; 0; 0; 0; 0; 1; 229; 912; 0; 268435454
